#{"t_start": 1776737486.7722251, "env_id": "Hopper-v5"}
r,l,t
817.871435,287,38.609594
385.354208,140,38.638087
771.547122,249,38.689043
564.082277,203,38.727856
746.473177,242,38.772291
767.245078,277,38.822736
933.244918,315,38.881841
1116.00118,382,38.951019
424.305805,160,38.980504
602.587771,219,39.390043
838.768545,288,39.441938
991.163742,330,39.501821
870.865701,290,39.554195
776.506349,261,39.600541
1104.50842,343,39.663588
581.982973,185,39.696556
449.110207,162,39.725576
716.102803,241,40.133557
551.009637,197,40.169595
1200.846278,444,40.251857
723.686469,251,40.296734
799.841914,265,40.344734
571.447958,200,40.381184
1226.719159,412,40.455278
904.480949,297,40.873009
620.257086,195,40.90841
641.304073,215,40.946322
789.490617,262,40.992614
571.052503,196,41.027399
512.25046,175,41.059863
522.956423,181,41.093385
758.963247,258,41.141437
754.777088,249,41.186774
764.157917,250,41.611198
636.941153,218,41.651883
763.744882,241,41.695087
770.112013,231,41.73528
673.295575,214,41.773528
715.605068,228,41.814005
370.89684,159,41.8429
518.54312,217,41.882413
732.211731,235,41.925471
914.093599,295,42.343727
654.631741,210,42.381688
1006.360198,360,42.448393
451.636131,177,42.479432
1127.025985,377,42.547112
857.707072,272,42.596795
690.76327,221,42.636231
614.483663,198,42.672131
101.238912,60,42.682899
545.336101,179,43.079703
728.527294,238,43.123095
702.275824,231,43.166041
788.088955,276,43.217673
919.731195,306,43.274524
684.817137,216,43.313012
643.021762,208,43.350157
817.255853,269,43.402407
1080.5369,350,43.83701
712.509488,227,43.883578
633.624423,205,43.923767
568.636397,185,43.960051
723.100834,238,44.007541
888.605557,290,44.064483
770.860561,245,44.111954
674.357762,218,44.152996
738.317432,250,44.588058
634.344165,202,44.626812
705.223838,226,44.667894
642.815637,205,44.705144
746.364505,229,44.745866
620.787556,211,44.78357
1073.548961,350,44.847961
650.592515,220,44.889065
669.38201,211,44.927809
730.679691,227,45.337101
813.347295,261,45.385071
560.494834,194,45.420364
647.064372,212,45.458181
778.181674,234,45.500712
850.49942,266,45.548866
584.048782,204,45.585989
772.723091,251,45.63123
752.85909,250,45.677382
549.337569,180,46.069834
677.063071,222,46.109679
341.968458,147,46.136603
491.747632,162,46.16649
605.783507,199,46.203723
660.855364,214,46.242289
661.217177,217,46.284139
755.55775,238,46.331767
666.66186,226,46.375274
545.79937,176,46.408494
593.66687,202,46.813133
859.315849,253,46.859109
1011.973574,318,46.916859
711.595698,234,46.960477
595.95195,201,46.997283
608.272098,209,47.035447
807.277393,264,47.083638
726.784953,223,47.123939
515.524332,189,47.1586
554.604394,187,47.563392
1001.000622,314,47.622624
942.744187,291,47.676597
622.080618,197,47.71228
671.774553,208,47.750766
814.523317,250,47.798232
722.308747,227,47.838958
897.409698,275,47.986327
663.486968,209,48.043658
1375.732195,425,48.512208
555.510932,181,48.544739
995.578182,312,48.602288
767.763183,238,48.645192
603.652159,192,48.680135
644.79864,206,48.718195
683.059873,213,48.756268
1348.425004,443,49.357628
1257.126966,403,49.441131
814.823275,252,49.489372
855.759486,267,49.541617
654.156262,212,49.581879
1092.898526,331,49.648883
633.187975,193,49.687036
1508.226377,464,50.184891
730.632979,224,50.226665
628.167129,203,50.263635
845.419625,254,50.309357
